id,text
97,"Please, take pity on me."
98,The squeaky wheel gets the oil.
99,Mother doesn't make things up.
100,I hope that a little bit of my soul dwindles away.
101,I have a good idea.
102,The President is back.
103,My biggest problem is deciding what I should wear.
104,She had to start saving in October so she could afford to buy Christmas presents for all her family and friends.
105,Jessica wants a new book.
106,You don't need 20 captains.
107,I advocate military action.
108,"As a child, her house was surrounded by towering oak trees which she always thought were one bad storm away from toppling."
109,It is illegal to buy and sell tigers and other big cats in the United States.
110,All the swings are empty.
111,that's not even how to kill me.
112,I went to California with my mom for a weekend girl's trip.
113,I can't swim after I drink milk.
114,A balanced diet is a cookie in each hand.
115,That was last week.
116,I like geography and science.
117,"One morning, I found an elephant in my pajamas."
118,"My mother looks a lot like my grandmother, and I look a lot like them."
119,The orange tree in her backyard was blown away by the hurricane.
120,She had a variety of masks.
121,"If I could recommend anything to try, it's my chiropractor, Hernando."
122,The bus went roaring by her window at 6 am.
123,When you are in your twenties you read Hegel.
124,Hand me the hammer.
125,The pencil broke in the middle of my test.
126,Options are limited.
127,I would not want to be in that situation.
128,She was shaking like a chihuahua.
129,She had so many books that she stacked them and used them as tables.
130,Tom gave Mary an obvious wink.
131,It's storming outside.
132,We know that everything we need to do is on the list.
133,The box was small and wrapped in paper with tiny silver and red glitter dots.
134,Hairless cats are probably cold a lot.
135,The Earth is spherical.
136,You may choose what to eat from this list.
137,You look so amazing in that red dress and heels.
138,The dog barked at the cat.
139,I was so thirsty that I couldn't wait to get a drink of water.
140,He persuaded me to take the job.
141,"When I read the list of ingredients, my stomach turned."
142,Keep your hands to yourself.
143,I own a lot of property in Beijing.
144,I didn't realize that the app was an invitation-only kind of thing.
145,I was already sorry that you had to work with Blake.
146,She was constantly looking for new jobs.
147,It's so expensive I want to die.
148,They’re as different as night and day.
149,The siblings could help each other.zfh
150,You ought to do it.
151,He knows English better than I do.
152,She liked vintage jeans because they fit her better.
153,My son is a total nightmare.
154,The peddler carried a big bundle on his back.
155,I won’t phone my friend till Bob arrives.
156,She bought a new plant even though she already had too many.
157,You took out someone you cared for.
158,The book had pictures of eyes all over the cover.
159,I'm not really a TV watcher.
160,Everything has a beginning and an end.
161,There was a point in my life when my dreams didn't seem possible.
162,"On her fifteenth birthday, her mom surprised her with a trip to Portugal."
163,She’s a walking encyclopedia of scientific facts.
164,"She wasn't sure if she liked her job or not, but she was sure it was better than being unemployed."
165,That box is too big to put in the trunk of the car.
166,He drinks more water than I do.
167,She cut the covers off of all of her books so people wouldn't want to steal them.
168,She bought a rotisserie chicken at the grocery store and its juices spilled all over the inside of her canvas bag.
169,I get on the bus.
170,My daughter does the laundry.
171,She went on a first date with the boy before she realized he was a Marxist.
172,We finished a bottle of wine between the two of us.
173,Danny drank the juice.
174,You're running a big risk in trusting him.
175,Any day will do.
176,Cows eat grass.
177,He changed his favorite color by the day.
178,"Also, they don’t eat much."
179,I can be greedy sometimes.
180,Here he comes to save the day.
181,Let's go to the mall today.
182,Pam wants to play outside because it just stopped raining.
183,I want chocolate.
184,I told him I’d spank the suitcase for being bad.
185,Tom's a lot smarter than me.
186,You're the best person I know.
187,I think you have the wrong number.
188,"He had an old pickup truck and a big, battered mower."
189,We were on the lake yesterday.
190,"She really wanted Panera, but there wasn't a store near her."
191,Paul gave me a present.
192,My small pet mouse escaped from his cage.
193,The delayed train has been an unexpected event today.
194,There is a dictionary open on the table.
195,"I'll have to blow out my gas stove for my birthday, since I don't have any candles."
196,I plan to weed the yard today.
197,The baby threw up all over her new white dress.
198,I’ve been able to cure my neighbor’s sick cat.
199,Don't even look at me.
200,Eurasia has a very rich history.
201,I have lived in Shanghai for a long time.
202,The room had green wallpaper with yellow flowers all over it.
203,I can do what you said.
204,My mom went on vacation and left my dad in charge of the house.
205,They could be together.
206,"She was hypercritical of all writers, even those who had been published and became successful."
207,"I saw some cool vintage chairs in a thrift store, but I really need to stop buying things."
208,You know what I mean.
209,She cancelled the date last minute because she was so stressed.
210,Gus and Jack are selling toys outside their house.
211,They sat in the shade of that big tree.
212,I could help mom around here.
213,Those apples are very red.
214,They want to make it bigger.
215,We can make ice cream.
216,"Nevermind, then."
217,She was the one that got away.
218,How beautiful she is.
219,"Yes, every tweet so far has been bad, but scientists are hopeful that one day we will discover a way to make good tweets."
220,The shower was too hot when I first got into it.
221,I also did not want to just close it down.
222,"I'll be back tomorrow, and we can decide together then."
223,She was born to dance.
224,The Chicago Bulls won six championships.
225,I am to blame for her death.
226,"She didn't drink, but she didn't want people to realize that, so she ordered a ginger ale at the bar."
227,There is not much to do in South Carolina other than sit on a beach.
228,I stepped into the elevator and pressed the down button.
229,I suggest you leave here at once.
230,He reminds me of your brother.
231,She fell and got a bruise on her thigh that was shaped like Texas.
232,You make me so happy.
233,We will walk in the garden later.
234,I’d be very surprised if that happened.
235,"I wanted a little more than that, to be perfectly honest, Trevor."
236,They had a very traditional doorbell.
237,The gang's all her.
238,She kept getting distracted by her own face in the camera viewfinder.
239,I spread the map on the table.
240,"He wanted to give his boyfriend a hug, but he was in Slovakia."
241,We go to a gallery every Sunday.
242,She found an old piece of paper under the fridge that had writing all over it.
243,It was a big honor to be asked to give a speech.
244,Tom knew he'd just made a big mistake.
245,He led them down the mountain.
246,She started wondering if he was cheating on her when she saw the receipt for an expensive jewelry purchase.
247,I can’t believe how right I was back then.
248,I just got hired at this restaurant.
249,He came to the point at once.
250,I was taking care of the dog.
251,It's adorable that you think I like you.
252,He was born in Tunisia but moved to Amsterdam when he was six.
253,Shape up or ship out.
254,The way you said that didn't make sense.
255,"We all want to believe that hot people aren't better than everyone else, but it's surprisingly difficult to justify philosophically."
256,The girl was wearing a denim jacket over a denim shirt and denim jeans.
257,Their efforts embarrassed them.
258,She could do it in her sleep.
259,It took quite a while.
260,"When her boss didn't respond to her text immediately, she started to panic."
261,Dozens of houses were burned down in that big fire.
262,He has been looking for this portal for decades.
263,"I don't mess around with diets; when I'm hungry, I eat."
264,She had never appreciated radio news shows.
265,I put on my slippers.
266,"When he decided to investigate the crime, he had no idea he'd learn so much about his family."
267,She’s headed to the Hockey Hall of Fame.
268,There’s a good chance it’ll rain tomorrow.
269,I like crawfish but oysters suck.
270,That is not a pencil.
271,Come on down.
272,Steve doesn't have to go if he doesn't want to.
273,They tore up the football field so they could develop the area for a new science wing.
274,She mixed up the recipes and accidentally made a beef parfait.
275,Henderson started the American Communist's Club when they were in tenth grade.
276,There is nothing about the situation I could relate to.
277,They’ll keep its name and French identity.
278,The park has a soccer field.
279,He often wished he was born in a time before social media.
280,Anakin and Padme belong together.
281,"She thought she wanted to be an editor, until she got a job and realized she hated detail work."
282,California is in America.
283,We usually eat our biggest meal of the day at noon.
284,She had a water bottle with  a built-in water filter.
285,Paying your rent is not your biggest worry.
286,"Don’t be sad, you're going to the game."
287,"It had been so long since she had seen him, she actually had to check the yearbook to remember his last name."
288,She was convinced her father was a master chef.
289,"i really enjoyed meeting you guys and experiencing the other side of catering events, but the late hours and insufficient wages deterred me from continuing this job."
290,I am on a very tight budget.
291,The movie industry became a big business.
292,Give me the big knife to cut the bread.
293,I am looking for some pears.
294,My father is in the office.
295,I will take you to the movies only if you wait for me outside.
296,You have some schoolwork to do.
297,Maybe he was brokering a deal.
298,We are all in favor of this plan.
299,It's the biggest house in the neighborhood.
300,Tom forgot his shopping list and only got half of what he wanted to.
301,His appearance terrified her and she screamed.
302,We have a long day tomorrow.
303,He didn't know who to go as for Halloween.
304,Stand up straight.
305,Don’t be nervous.
306,That is very nice of you to say.
307,"That's it, go to time-out."
308,The coach smiled at the player who tossed the frisbee.
309,I'm going to see a movie.
310,I don't know how to spell a lot of things.
311,There are chips that I want in that vending machine.
312,The cat jumped over the fence.
313,I want to ask them when their big day is.
314,My mom drove me to school fifteen minutes late on Tuesday.
315,There is nobody more powerful than someone who is extremely intelligent but also extremely humble.
316,My brother’s dog barks a lot.
317,The wind was strong today in the city.
318,My hat is cooler than Jim's.
319,That is a great idea.
320,I've got other problems.
321,Sports is one outlet to let off steam.
322,I like the Wimbledon.
323,What a big house you have.
324,Look at the blackboard.
325,You set me up and I don't appreciate it.
326,He didn't know where he was supposed to go for his interview.
327,There was a big party at Tom's place last weekend.
328,She has a beautiful smile.
329,The sirens went off in the middle of the night and woke us all up.
330,"She wants to be stronger, even if that means being meaner."
331,Skating is so much fun.
332,"You can start from the basic stitches, and go from there."
333,The chocolate chip cookies smelled so good that I ate one without asking.
334,The earth is like a ball with a big magnet in it.
335,She was very tired and frustrated.
336,She started crying after she finished the song.
337,It was very disgusting what he did to that pool.
338,He hung a picture on the wall.
339,"I wonder if she dressed herself as hastily as we did: the room still dark, neither of us awake enough to remember to turn on the light switch, the echo of the telephone bells in our ears."
340,Europe is old.
341,The taxes are included in the price.
342,Tom is now looking for a bigger house to live in.
343,This carpet is big enough to cover the whole floor.
344,You're pulling my leg.
345,Mrs. Lee’s class took a field trip to Austin.
346,"On her birthday, she decided to skip work, and instead got on a plane to Wisconsin."
347,He got a fantastic performance review.
348,He’s a bit tipsy.
349,A skirt can be fancier than jeans.
350,The key he was interested in was very old.
351,I'm taking a break from work.
352,You're already big enough to do it by yourself.
353,"Last weekend, she wanted to go to the wedding, but she wasn't sure it was safe."
354,Your reputation as an eccentric will rapidly grow in the neighborhood if you’re seen walking a pet ostrich on a leash every morning.
355,She was always worried that everyone secretly hated her.
356,My German vocabulary list is up to two thousand words now.
357,The chickens were running around and pecking worms out of the ground.
358,She’s the absolute best.
359,This big sofa is really not suitable for a small room.
360,There've been some big changes made around here recently.
361,Moving to the next step is daunting.
362,He does laundry in his basement.
363,Plenty of sleep is healthful.
364,Most big Japanese firms depend on exports.
365,I can’t make up my mind.
366,The sponge absorbed the water quicker than the towel.
367,My big brother shared his cake with me.
368,Those pants are too tight.
369,"I was scared to go to a monster movie, but my dad said he would sit with me, so we went last night."
370,I've got too much work to do.
371,Sarah will throw a big party with a lot of music.
372,I think I can hear a baby crying.
373,They wrote the specials on the chalkboard in multi-colored chalks.
374,It is all going to be all right.
375,We would move to a nicer house if we had more money.
376,We can go to the museum.
377,A lovely day isn't it.
378,Ken's uncle has a chicken farm.
379,We've been making this recipe for generations.
380,I was so mad that I yelled at him at the top of my lungs.
381,Your stance tells me.
382,You can decide before your flight here on Thursday morning.
383,Mr. Smith thinks that he's the best.
384,I was excited to spend time with my wife without being interrupted by kids.
385,We will make a snowman this winter.
386,Blood is thicker than water.
387,The snake in the grass made me jump.
388,You're making a big fuss about nothing.
389,It was raining so badly that she skidded on the pavement.
390,Good heavens you’ve grown.
391,I broke my phone.
392,I wouldn’t bet on going to the fair today.
393,The White House is important.
394,I am a football fan.
395,I am going to make my bed first.
396,He wished that time would pass faster.
397,She was scared by the earthquake.
398,"He was very excited to see her, after two months away."
399,The Communists are considered bad because they failed in carrying out their ideal of ending inequality.
400,I prefer to go rather than to stay.
401,Bigger doesn't always mean better.
402,"When she got her new ID, they hole-punched her old one."
403,"Today is Sunday, which means tomorrow is Monday and yesterday was Saturday."
404,She graduated high school in 2003.
405,"I thought I wanted to work in an office, but now I'm not so sure."
406,Cry all you want.
407,She didn't know if it was an ethical issue that she wasn't disclosing certain information.
408,His mom was so upset that he knew he couldn't tell her the truth.
409,He has quite a few friends.
410,You're making the biggest mistake of your life.
411,Michael doesn’t work.
412,I have a feeling that something big is about to happen.
413,She often exaggerates certain events to sound cool.
414,The volume was up too high on the television.
415,This is the biggest bookstore in town.
416,He is bigger than all the other boys.
417,I was so thirsty I couldn't wait to get a drink of water.
418,He writes meaningless letters.
419,"He didn't want to go to the party, but he had already said he would go."
420,Tom is taller than you are.
421,She is with another man.
422,You must have a huge family.
423,I like cucumbers and olives.
424,We have a big oak tree in our backyard.
425,Bad news travels fast.
426,One of the big issues in the campaign was taxes.
427,Tragedy brings hope.
428,He asked if she wanted room for cream in her coffee.
429,They will arrive in half an hour.
430,She was determined to summit Mount Everest before she turned twenty-nine.
431,I was thinking of going round your place.
432,I love eating toasted cheese and tuna sandwiches.
433,If you like tuna and tomato sauce- try combining the two. It’s really not as bad as it sounds.
434,Someone I know recently combined Maple Syrup & buttered Popcorn thinking it would taste like caramel popcorn. It didn’t and they don’t recommend anyone else do it either.
435,"Sometimes, all you need to do is completely make an ass of yourself and laugh it off to realise that life isn’t so bad after all."
436,When I was little I had a car door slammed shut on my hand and I still remember it quite vividly.
437,The clock within this blog and the clock on my laptop are 1 hour different from each other.
438,They were excited to see their first sloth.
439,The wake behind the boat told of the past while the open sea for told life in the unknown future.
440,Even though he thought the world was flat he didn’t see the irony of wanting to travel around the world.
441,He wondered if it could be called a beach if there was no sand.
442,"Thigh-high in the water, the fisherman’s hope for dinner soon turned to despair."
443,Combines are no longer just for farms.
444,The small white buoys marked the location of hundreds of crab pots.
445,The snow-covered path was no help in finding his way out of the back-country.
446,The waitress was not amused when he ordered green eggs and ham.
447,"Buried deep in the snow, he hoped his batteries were fresh in his avalanche beacon."
448,Courage and stupidity were all he had.
449,I don’t respect anybody who can’t tell the difference between Pepsi and Coke.
450,"As the years pass by, we all know owners look more and more like their dogs."
451,"In hopes of finding out the truth, he entered the one-room library."
452,As he entered the church he could hear the soft voice of someone whispering into a cell phone.
453,He quietly entered the museum as the super bowl started.
454,He had concluded that pigs must be able to fly in Hog Heaven.
455,The rain pelted the windshield as the darkness engulfed us.
456,Beach-combing replaced wine tasting as his new obsession.
457,The blinking lights of the antenna tower came into focus just as I heard a loud snap.
458,People generally approve of dogs eating cat food but not cats eating dog food.
459,"Car safety systems have come a long way, but he was out to prove they could be outsmarted."
460,They looked up at the sky and saw a million stars.
461,She opened up her third bottle of wine of the night.
462,"With a single flip of the coin, his life changed forever."
463,"The tart lemonade quenched her thirst, but not her longing."
464,Flying fish few by the space station.
465,He colored deep space a soft yellow.
466,Dan ate the clouds like cotton candy.
467,He found a leprechaun in his walnut shell.
468,Bill ran from the giraffe toward the dolphin.
469,It didn't make sense unless you had the power to eat colors.
470,Patricia loves the sound of nails strongly pressed against the chalkboard.
471,He didn't understand why the bird wanted to ride the bicycle.
472,Garlic ice-cream was her favorite.
473,Smoky the Bear secretly started the fires.
474,Pat ordered a ghost pepper pie.
475,"You have every right to be angry, but that doesn't give you the right to be mean."
476,Andy loved to sleep on a bed of nails.
477,Her daily goal was to improve on yesterday.
478,She had a habit of taking showers in lemonade.
479,The elephant didn't want to talk about the person in the room.
480,The skeleton had skeletons of his own in the closet.
481,The Oscar ceremonies are Hollywood's biggest extravaganza.
482,She learned the different types of clouds in second grade.
483,Sometimes I get confused where the ball went.
484,We go to the gym club together.
485,We've been trying to go there for so long.
486,I haven’t been invited.
487,This room is just about big enough.
488,The giraffe licked the tree and spat at the gorilla.
489,That will do.
490,She doesn’t see Peter every day.
491,The conversion rate of USD to Chinese RMB is approximately 1:6.
492,We cook every day.
493,I’m left wondering if she understood the joke.
494,Wiggle your fingers.
495,Tokyo is bigger than Rome.
496,He plays the violin as well as the fiddle.
497,His speech covered many subjects.
498,My hands are too big to fit into these gloves.
499,People are really out there thinking we can stop fascism by pointing out that they made factually inaccurate statements somewhere along the way.
500,Robert tends to talk big.
501,I have a whole list of people to call.
502,He wore a red shirt and khakis to Target and was mistaken for an employee.
503,It could possibly become a big problem.
504,She wanted to be a tutor but had a hard time getting started.
505,The kids were smiling from ear to ear.
506,The nurse asked me which medications I was taking.
507,Tom didn't want to take such a big risk.
508,She told him to grow up.
509,Albert is so cute.
510,"She thought squirrels tasted gross, but if she complained, her parents would yell at her."
511,"She meant to go to Gaborone, but mixed up Botswana and Zimbabwe and ended up in Harare instead."
512,I've never seen a whale that big.
513,We weren't in the best place.
514,Good location choice.
515,People love Chicago.
516,He looked like a candy cane.
517,She froze at the sight of the big spider.
518,They called each other over the iPad each morning during breakfast.
519,Problem solving is important.
520,Every store around her seemed to have retail space for lease.
521,Tom just got that big promotion he's been waiting for.
522,I don’t hate you.
523,The dog chased the cat around the block four times.
524,Mary is a fan of theirs.
525,The job was bigger than I anticipated.
526,The papers say that there was a big fire in Nagoya.
527,"When I ripped the tape off, it hurt."
528,This dress is too big for me.
529,I can make my own decisions.
530,I don't think the house is as big as we hoped.
531,"The chandelier swayed in the breeze, sending dust drifting over the tables."
532,There's a big package on the desk for you.
533,He resolved to give up smoking.
534,The big fire reduced the whole town to ashes.
535,This is my younger brother.
536,I will not open the door.
537,"The bigger they are, the harder they fall."
538,I want a big happy family.
539,They live in a beautiful house.
540,She became homeless after she was evicted.
541,She regretted not going until she saw the pictures they posted of the meet-up and realized she would have been the only woman there.
542,"We're leaving in ten minutes, whether you're dressed or not."
543,I am a little mad right now.
544,I am having his baby.
545,Animal print adds a nice touch to plain outfits.
546,I am on the phone.
547,She didn't understand the appeal of hardwood floors.
548,I check off each task on my list as soon as I complete it.
549,His story is fishy.
550,He didn't mean to smash the window.
551,he has skipped school on many occasions.
552,We're no different from anyone else.
553,I have a feeling the boss won’t be happy about this.
554,Wearing long sleeves in the winter is a good idea.
555,You’re a fantastic cook.
556,I had a beta fish.
557,I'm on the list.
558,It's so sunny outside.
559,Nobody ever believed her when she told them how big her family was.
560,She went to Oktoberfest and got drunk on half a stein of beer.
561,The Nazis are considered bad because they succeeded in carrying out their ideal of ending the Jews.
562,A candle can be fake or real.
563,You would somehow manage to make yourself understood.
564,It could be the biggest mistake you ever make.
565,We have group fitness classes.
566,"One day, maybe, she'd be interested, but not right now."
567,I thought about possibly taking it over myself.
568,The woman wasn't replying to her emails.
569,Tom had big money problems.
570,They saw giraffes.
571,I’ve asked you a thousand times not to leave your dirty socks on the floor.
572,It is very useful to listen to Lesson One again.
573,I could be proposing next week.
574,I’m reconsidering my decision to get such an expensive car.
575,He snuck into the house after midnight to investigate.
576,Tom recognized three of the names on the list.
577,"The bike shop had special bike racks out front, which were shaped like bicycle wheels."
578,I want to be married.
579,She hated the taste of butter so much that it made her gag.
580,We are starting to enter a new chapter.
581,"You’ll get a chance to come closer to nature, meet lots of different animals, birds, and plants."
582,"When you enter a room, smile and say hello."
583,You need to look at the big picture here.
584,Yesterday's board meeting was a big success.
585,He recommended the scary book to me.
586,I had to check Facebook to figure out her last name.
587,He used a big piece of paper to make the bag.
588,They painted the coffee shop ceiling black.
589,I expect to be there this evening.
590,We generally sing songs all together.
591,She felt bad about constantly complaining about her friends but they were driving her insane.
592,"She sat next to a mom with a baby on the train, and the baby threw up on her."
593,He wanted to go for a walk but it was too cold to go outside.
594,"In Japan, there is no lake bigger than Lake Biwa."
595,I'm always late and I don't care.
596,Grief is a ritual.
597,Peter ate french fries.
598,"It's a big country, Tom."
599,"She got Taco Bell for lunch to try to cheer herself up, but it only made her more upset."
600,There's a big bottle of aspirin in the medicine cabinet.
601,The clock was ticking and kept me awake all night.
602,Judith Jarvis Thompson is the best philosopher of all time.
603,He said the telegram had arrived at noon.
604,"She liked the wallpaper in her room, but her mom insisted they remove it and put up paint instead."
605,He was a horrible dancer.
606,"That's a great job, Kimberly."
607,I don't care how long your socks are.
608,Aluminum helps to keep your food fresh for longer.
609,Technology makes us forget our past.
610,"At the coffee shop, she couldn't tell if they were annoyed with her or not."
611,I accidentally left my money in my pants pocket and it got ruined in the washer.
612,"The girl had very long, very pretty hair and round glasses."
613,Chocolate covered crickets were his favorite snack.
614,"The secret code they created made no sense, even to them."
615,"Three years later, the coffin was still full of Jello."
616,His mind was blown that there was nothing in space except space itself.
617,They're playing the piano while flying in the plane.
618,The hand sanitizer was actually clear glue.
619,The lyrics of the song sounded like fingernails on a chalkboard.
620,It took him a month to finish the meal.
621,"Seek success, but always be prepared for random cats."
622,Having no hair made him look even hairier.
623,He poured rocks in the dungeon of his mind.
624,The blue parrot drove by the hitchhiking mongoose.
625,Happiness can be found in the depths of chocolate pudding.
626,There are no heroes in a punk rock band.
627,He shaved the peach to prove a point.
628,"Peanuts don't grow on trees, but cashews do."
629,It's difficult to understand the lengths he'd go to remain short.
630,He created a pig burger out of beef.
631,His thought process was on so many levels that he gave himself a phobia of heights.
632,He liked to play with words in the bathtub.
633,There were three sphered rocks congregating in a cubed room.
634,There was no telling what thoughts would come from the machine.
635,He put heat on the wound to see what would grow.
636,She used her own hair in the soup to give it more flavor.
637,Sometimes you have to just give up and win by cheating.
638,She was amazed by the large chunks of ice washing up on the beach.
639,Gary didn't understand why Doug went upstairs to get one dollar bills when he invited him to go cow tipping.
640,The beach was crowded with snow leopards.
641,"As the asteroid hurtled toward earth, Becky was upset her dentist appointment had been canceled."
642,She looked at the masterpiece hanging in the museum but all she could think is that her five-year-old could do better.
643,The white water rafting trip was suddenly halted by the unexpected brick wall.
644,She always had an interesting perspective on why the world must be flat.
645,There are many things that confuse me about that.
646,He is my grandfather.
647,You shouldn't go swimming after eating a big meal.
648,They have a big lunch and a small dinner.
649,She attended kindergarten in 2013.
650,I’m taking a little road trip to Oklahoma City this morning.
651,He admitted defeat.
652,"You, as the maker, get to decide the design."
653,"She thought she was very special, and not like other girls."
654,The man at the coffeeshop had been sitting there alone for some time before he was joined by a very beautiful woman.
655,I do not want to smoke.
656,Those are big watermelons.
657,We shall devote today’s lesson to the study of the English verb ‘to get’.
658,There’s not much chance of that actually happening.
659,You are more than just your shopping cart.
660,"She had always harbored a secret jealousy for Youtubers, even those who appeared outwardly dumb and were often mocked on Twitter."
661,It makes me forget all my problems.
662,He bonded with his father over music.
663,"She paid over a thousand dollars a month for her tiny studio apartment, which did not have a dishwasher or consistent heating."
664,There is a lot of crime in big cities.
665,"With these headphones, I can't hear anything."
666,"She wanted her grandmother's old bike, but the tires were worn out and she couldn't find a shop that could replace them."
667,"Today, I met a vampire who liked to eat beets."
668,Alex works for 4 hours every day.
669,I got a smoothie while I was waiting for my plane to arrive.
670,The old man liked to watch birds and go hunting for squirrels.
671,It rather suprised me.
672,Tom wanted to live in a city like Boston.
673,The red van was pulling a trailer with a beat-up lawn mower on it.
674,Nobody is out there trying to be happy.
675,Most of the people who agreed to sell their livers had already sold one of their kidneys.
676,This would be a fun place to get married.
677,The kid had made it his mission to pee in every pool he swam in.
678,There is nothing else to do today.
679,She will buy the red sweater.
680,She gave me a dirty look.
681,I just made it.
682,The package will arrive six days late.
683,He kept telling himself that one day it would all somehow make sense.
684,She moved forward only because she trusted that the ending she now was going through must be followed by a new beginning.
685,"While all her friends were positive that Mary had a sixth sense, she knew she actually had a seventh sense."
686,He had a wall full of masks so she could wear a different face every day.
687,The group quickly understood that toxic waste was the most effective barrier to use against the zombies.
688,"There have been days when I wished to be separated from my body, but today wasn’t one of those days."
689,"To the surprise of everyone, the Rapture happened yesterday but it didn't quite go as expected."
690,The bullet pierced the window shattering it before missing Danny's head by mere millimeters.
691,The complicated school homework left the parents trying to help their kids quite confused.
692,Too many prisons have become early coffins.
693,I often wish for good luck and receive bad luck.
694,I got a new cat.
695,I was born a very grumpy baby.
696,These dogs are so sweet.
697,You need therapy.
698,The price just covers the pre-tax cost.
699,Utensils are useful.
700,She knew as soon as she rejected the job that it was the wrong decision to make.
701,"As a kid, she thought that dinosaurs were still alive and lived in the woods behind her house."
702,"In Shanghai, there is a tower called the Pearl Tower which has a big round base and a pointed tip."
703,She found a cool vintage sweatshirt while thrifting.
704,I'll make a list and give it to Samantha.
705,She got bent out of shape.
706,Therapy seems helpful.
707,I bought these boots at Goodwill.
708,"He is tough, but I am even tougher."
709,The external scars tell only part of the story.
710,Excitement replaced fear until the final moment.
711,The tattered work gloves speak of the many hours of hard labor he endured throughout his life.
712,The hummingbird's wings blurred while it eagerly sipped the sugar water from the feeder.
713,Poison ivy grew through the fence they said was impenetrable.
714,She forgot to water the plant for two months.
715,This car is in good condition.
716,"The tape was so sticky that, when it got stuck to my eyebrows, it wouldn't come off."
717,I am Loki.
718,She is my grandmother.
719,It’s as flat as a pancake.
720,I like rice and beans for dinner.
721,No burglar would ever have the heart to hurt a pet pig.
722,I had a bad feeling the morning after drinking too much.
723,He had always wanted to be a Youtuber but never thought it would actually happen.
724,I like veggies too.
725,She’s trying to drown her sorrows.
726,His shirt is covered in sweat.
